id,company_name,website_url,website_type,blacklisted
242,Taskrabbit,https://boards.greenhouse.io/taskrabbit,Greenhouse,False
243,Three Ships,https://boards.greenhouse.io/threeships,Greenhouse,False
244,Trail of Bits,https://boards.greenhouse.io/trailofbits,Greenhouse,False
245,Triumph Tech,https://boards.greenhouse.io/triumphtech,Greenhouse,False
247,Turtle Rock Studios,https://boards.greenhouse.io/turtlerockstudios,Greenhouse,False
248,Two Six Technologies,https://boards.greenhouse.io/twosixtechnologies,Greenhouse,False
249,Udacity,https://boards.greenhouse.io/udacity,Greenhouse,False
250,Upwork,https://boards.greenhouse.io/upwork,Greenhouse,False
251,Varsity Tutors,https://boards.greenhouse.io/varsitytutors,Greenhouse,False
252,WelbeHealth,https://boards.greenhouse.io/welbehealth,Greenhouse,False
253,Wight & Company,https://boards.greenhouse.io/wight,Greenhouse,False
254,WillowTree,https://boards.greenhouse.io/willowtree,Greenhouse,False
255,WITHIN,https://boards.greenhouse.io/agencywithin,Greenhouse,False
256,Wizards of the Coast,https://boards.greenhouse.io/wizardsofthecoast,Greenhouse,False
260,Accruent,https://boards.greenhouse.io/accruenthq,Greenhouse,False
261,Adyen,https://boards.greenhouse.io/adyen,Greenhouse,False
263,Airbnb,https://boards.greenhouse.io/embed/job_board?for=airbnb,Greenhouse,False
166,Alma,https://boards.greenhouse.io/alma,Greenhouse,False
265,Alo Yoga,https://boards.greenhouse.io/aloyoga,Greenhouse,False
266,Alto Pharmacy,https://www.alto.com/careers,Greenhouse,False
268,Aperia,https://boards.greenhouse.io/aperiasolutions,Greenhouse,False
269,Applied Data Finance,https://careers.smartrecruiters.com/AppliedDataFinance,SmartRecruiters,False
270,Arista Networks,https://careers.smartrecruiters.com/aristanetworks,SmartRecruiters,False
271,Assembly OSM Inc.,https://boards.greenhouse.io/assemblyosminc,Greenhouse,False
272,Believe,https://careers.smartrecruiters.com/Believe,SmartRecruiters,False
257,Abode Communities,https://careers.smartrecruiters.com/AbodeCommunities,SmartRecruiters,False
273,BETSOL,https://careers.smartrecruiters.com/Betsol,SmartRecruiters,False
274,BeVera Solutions,https://careers.smartrecruiters.com/BeVeraSolutions,SmartRecruiters,False
275,Beyond Finance,https://boards.greenhouse.io/beyondfinance,Greenhouse,False
276,BillionToOne,https://boards.greenhouse.io/billiontoone,Greenhouse,False
277,Blend360,https://careers.smartrecruiters.com/Blend360,SmartRecruiters,False
278,Bosch Group,https://careers.smartrecruiters.com/BoschGroup,SmartRecruiters,False
279,Box,https://boards.greenhouse.io/boxinc,Greenhouse,False
280,Brightspeed,https://careers.smartrecruiters.com/Brightspeed,SmartRecruiters,False
282,Careem,https://boards.greenhouse.io/careem,Greenhouse,False
283,Celonis,https://boards.greenhouse.io/celonis,Greenhouse,False
284,CERN,https://careers.smartrecruiters.com/CERN,SmartRecruiters,False
285,Chuze Fitness,https://careers.smartrecruiters.com/ChuzeFitness,SmartRecruiters,False
286,City and County of San Francisco,https://careers.smartrecruiters.com/CityAndCountyOfSanFrancisco1,SmartRecruiters,False
287,CloudOps,https://www.cloudops.com/careers/,Greenhouse,False
289,ConfigureTek,https://careers.smartrecruiters.com/ConfigureTek,SmartRecruiters,False
290,Crafty,https://boards.greenhouse.io/crafty,Greenhouse,False
291,Crocs Inc. Global Jobs,https://boards.greenhouse.io/crocsglobaljobs,Greenhouse,False
292,Cruise,https://getcruise.com/careers/,Greenhouse,True
293,Cruise,https://boards.greenhouse.io/cruiseuniversity,Greenhouse,False
294,Cruise Carreras,https://careers.smartrecruiters.com/cruisecarreras,SmartRecruiters,False
295,DECATHLON,https://careers.smartrecruiters.com/DECATHLON,SmartRecruiters,False
297,DEPT®,https://boards.greenhouse.io/dept,Greenhouse,False
298,Dexterra,https://careers.smartrecruiters.com/Dexterra,SmartRecruiters,False
299,Downing Capital Group,https://boards.greenhouse.io/downingcapitalgroup,Greenhouse,False
300,DRW,https://boards.greenhouse.io/drweng,Greenhouse,False
301,eBay,https://careers.smartrecruiters.com/eBay,SmartRecruiters,False
302,Edera,https://boards.greenhouse.io/edera,Greenhouse,False
304,EMCO Corporation,https://careers.smartrecruiters.com/EMCOCorporation,SmartRecruiters,False
305,Enterpret,https://boards.greenhouse.io/enterpret,Greenhouse,False
308,Experian,https://careers.smartrecruiters.com/Experian,SmartRecruiters,False
